frame,config,policy,seed,densification_enabled,N_before,N_new,N_after,N_visible,N_optimized,PSNR,SSIM,depth_L1,coverage,opt_time_ms,frame_time_ms,delta_psnr_step,delta_psnr_cumul,has_nan_inf
1,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,11.622461080551147,0.5792478919029236,1.3533592224121094,0.8179687857627869,0.0,5805.100448000303,-0.019440650939941406,-0.019440650939941406,False
2,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,11.442016363143921,0.5519291758537292,1.3560621738433838,0.8164583444595337,0.0,6005.149395999979,-0.18044471740722656,-0.19988536834716797,False
3,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,11.244096755981445,0.5185273885726929,1.3608897924423218,0.814648449420929,0.0,6075.712926000051,-0.19791960716247559,-0.39780497550964355,False
4,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,11.105380058288574,0.493496835231781,1.3368854522705078,0.8142969012260437,0.0,5889.190533000146,-0.1387166976928711,-0.5365216732025146,False
5,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.99530816078186,0.4748508930206299,1.36764395236969,0.8137500286102295,0.0,5871.645287999854,-0.11007189750671387,-0.6465935707092285,False
6,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.934422016143799,0.466980904340744,1.3397855758666992,0.8139322996139526,0.0,5804.220022000663,-0.06088614463806152,-0.70747971534729,False
7,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.88528037071228,0.45982107520103455,1.3465946912765503,0.8133463859558105,0.0,5878.091245000178,-0.049141645431518555,-0.7566213607788086,False
8,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.848329067230225,0.45513099431991577,1.3449037075042725,0.8127734661102295,0.0,5727.812526998605,-0.036951303482055664,-0.7935726642608643,False
9,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.83676815032959,0.44920921325683594,1.330196738243103,0.8131510615348816,0.0,5703.098289999616,-0.011560916900634766,-0.805133581161499,False
10,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.842548608779907,0.4441239535808563,1.329634428024292,0.8132812976837158,0.0,5772.211521998543,0.005780458450317383,-0.7993531227111816,False
11,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.814822912216187,0.43123385310173035,1.3303253650665283,0.8133072853088379,0.0,5668.709028999729,-0.027725696563720703,-0.8270788192749023,False
12,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.728747844696045,0.4084826409816742,1.3418779373168945,0.8132031559944153,0.0,5867.345013999511,-0.0860750675201416,-0.913153886795044,False
13,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.643401145935059,0.3865280747413635,1.3744534254074097,0.8137630224227905,0.0,5861.504084999979,-0.08534669876098633,-0.9985005855560303,False
14,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.587707757949829,0.3724491596221924,1.3736311197280884,0.8116927146911621,0.0,5889.735148999534,-0.05569338798522949,-1.0541939735412598,False
15,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.553555488586426,0.3591780662536621,1.3793480396270752,0.8112369775772095,0.0,5666.383645999304,-0.03415226936340332,-1.088346242904663,False
16,new_init_new_dense/noop_static,no_op,42,False,14073,0,14073,14073,0,10.518019199371338,0.3474017083644867,1.3964228630065918,0.8106510639190674,0.0,5733.675338999092,-0.03553628921508789,-1.123882532119751,False
