frame,config,policy,seed,densification_enabled,N_before,N_new,N_after,N_visible,N_optimized,PSNR,SSIM,depth_L1,coverage,opt_time_ms,frame_time_ms,delta_psnr_step,delta_psnr_cumul,has_nan_inf
1,new_init_legacy_dense,no_op,42,True,14073,67,14140,14073,0,11.622461080551147,0.5792478919029236,1.3533592224121094,0.8183203339576721,0.0,5804.999543999656,-0.019440650939941406,-0.019440650939941406,False
2,new_init_legacy_dense,no_op,42,True,14140,69,14209,14140,0,11.452113389968872,0.552581787109375,1.3560621738433838,0.8167968988418579,0.0,6062.752013000136,-0.1703476905822754,-0.1897883415222168,False
3,new_init_legacy_dense,no_op,42,True,14209,66,14275,14209,0,11.263127326965332,0.5197720527648926,1.3608897924423218,0.8153255581855774,0.0,5760.147881001103,-0.18898606300354004,-0.37877440452575684,False
4,new_init_legacy_dense,no_op,42,True,14275,65,14340,14275,0,11.13345980644226,0.4954032301902771,1.3368854522705078,0.816184937953949,0.0,5816.4538929995615,-0.1296675205230713,-0.5084419250488281,False
5,new_init_legacy_dense,no_op,42,True,14340,71,14411,14340,0,11.032663583755493,0.4775722920894623,1.36764395236969,0.8156901001930237,0.0,5813.048821999473,-0.10079622268676758,-0.6092381477355957,False
6,new_init_legacy_dense,no_op,42,True,14411,71,14482,14411,0,10.981839895248413,0.4705382287502289,1.3397855758666992,0.8174349069595337,0.0,5866.520511000999,-0.05082368850708008,-0.6600618362426758,False
7,new_init_legacy_dense,no_op,42,True,14482,69,14551,14482,0,10.946805477142334,0.464417040348053,1.3465946912765503,0.8187760710716248,0.0,5901.589249999233,-0.0350344181060791,-0.6950962543487549,False
8,new_init_legacy_dense,no_op,42,True,14551,66,14617,14551,0,10.920761823654175,0.4606093168258667,1.3449037075042725,0.8213021159172058,0.0,5951.197780999792,-0.02604365348815918,-0.7211399078369141,False
9,new_init_legacy_dense,no_op,42,True,14617,63,14680,14617,0,10.918596982955933,0.45523762702941895,1.330196738243103,0.8227734565734863,0.0,5967.714578999221,-0.0021648406982421875,-0.7233047485351562,False
10,new_init_legacy_dense,no_op,42,True,14680,69,14749,14680,0,10.936137437820435,0.4510278105735779,1.329634428024292,0.8252604603767395,0.0,5934.783393000544,0.017540454864501953,-0.7057642936706543,False
11,new_init_legacy_dense,no_op,42,True,14749,64,14813,14749,0,10.919076204299927,0.43850916624069214,1.3303253650665283,0.8261849284172058,0.0,6066.316098998868,-0.017061233520507812,-0.7228255271911621,False
12,new_init_legacy_dense,no_op,42,True,14813,70,14883,14813,0,10.839680433273315,0.41610950231552124,1.3418779373168945,0.826367199420929,0.0,6072.471168001357,-0.07939577102661133,-0.8022212982177734,False
13,new_init_legacy_dense,no_op,42,True,14883,68,14951,14882,0,10.7608962059021,0.3946153521537781,1.3744534254074097,0.8279687762260437,0.0,6052.503712000544,-0.07878422737121582,-0.8810055255889893,False
14,new_init_legacy_dense,no_op,42,True,14951,64,15015,14951,0,10.712590217590332,0.380978524684906,1.3736311197280884,0.8274088501930237,0.0,6001.815941001041,-0.04830598831176758,-0.9293115139007568,False
15,new_init_legacy_dense,no_op,42,True,15015,71,15086,15015,0,10.680651664733887,0.3676818311214447,1.3793480396270752,0.8269661664962769,0.0,6088.4355359994515,-0.03193855285644531,-0.9612500667572021,False
16,new_init_legacy_dense,no_op,42,True,15086,62,15148,15086,0,10.653005838394165,0.35686370730400085,1.3964228630065918,0.8267708420753479,0.0,6145.5059129984875,-0.02764582633972168,-0.9888958930969238,False
17,new_init_legacy_dense,no_op,42,True,15148,67,15215,15147,0,10.64670205116272,0.35114938020706177,1.4090666770935059,0.8272526264190674,0.0,6142.633760000535,-0.0063037872314453125,-0.9951996803283691,False
18,new_init_legacy_dense,no_op,42,True,15215,74,15289,15213,0,10.611950159072876,0.3332279920578003,1.4057201147079468,0.8278255462646484,0.0,6129.8238249983115,-0.03475189208984375,-1.029951572418213,False
19,new_init_legacy_dense,no_op,42,True,15289,69,15358,15288,0,10.594397783279419,0.3243767023086548,1.421609878540039,0.8278906345367432,0.0,6284.455805000107,-0.01755237579345703,-1.04750394821167,False
20,new_init_legacy_dense,no_op,42,True,15358,68,15426,15356,0,10.605061054229736,0.31723588705062866,1.424498438835144,0.8275651335716248,0.0,6223.093714999777,0.010663270950317383,-1.0368406772613525,False
21,new_init_legacy_dense,no_op,42,True,15426,70,15496,15424,0,10.585095882415771,0.3048039376735687,1.4319705963134766,0.8274739980697632,0.0,6300.18453699995,-0.019965171813964844,-1.0568058490753174,False
22,new_init_legacy_dense,no_op,42,True,15496,71,15567,15496,0,10.577396154403687,0.3028349280357361,1.4348652362823486,0.8279557228088379,0.0,6348.660887999358,-0.007699728012084961,-1.0645055770874023,False
23,new_init_legacy_dense,no_op,42,True,15567,67,15634,15563,0,10.595495700836182,0.3062819242477417,1.4314640760421753,0.8276041746139526,0.0,6375.641538001219,0.018099546432495117,-1.0464060306549072,False
24,new_init_legacy_dense,no_op,42,True,15634,74,15708,15629,0,10.64186692237854,0.32275447249412537,1.4347059726715088,0.8274739980697632,0.0,6445.67814200127,0.0463712215423584,-1.0000348091125488,False
25,new_init_legacy_dense,no_op,42,True,15708,73,15781,15703,0,10.670989751815796,0.3416200280189514,1.4379076957702637,0.8273568153381348,0.0,6453.065622001304,0.02912282943725586,-0.970911979675293,False
26,new_init_legacy_dense,no_op,42,True,15781,68,15849,15774,0,10.661764144897461,0.3488243520259857,1.436058521270752,0.8282291889190674,0.0,6449.985152999943,-0.009225606918334961,-0.9801375865936279,False
27,new_init_legacy_dense,no_op,42,True,15849,70,15919,15842,0,10.690251588821411,0.3626440465450287,1.454829454421997,0.8278906345367432,0.0,6490.915736998431,0.028487443923950195,-0.9516501426696777,False
28,new_init_legacy_dense,no_op,42,True,15919,68,15987,15907,0,10.767097473144531,0.3844738006591797,1.462035894393921,0.8275911808013916,0.0,6579.912816001524,0.07684588432312012,-0.8748042583465576,False
29,new_init_legacy_dense,no_op,42,True,15987,63,16050,15974,0,10.759296417236328,0.3835847079753876,1.4478615522384644,0.8275781273841858,0.0,6640.908022000076,-0.007801055908203125,-0.8826053142547607,False
