variant,seed,rho_in_domain,rho_zero_shot,delta_rho,ndcg_in_domain,ndcg_zero_shot,delta_ndcg,ose_in_domain,ose_zero_shot,delta_ose
A1_standard,42,0.4189493433395873,0.45328330206379,-0.034333958724202696,0.5320208192991787,0.6684974309559377,-0.13647661165675906,0.8347005286817778,0.6828823562245171,0.1518181724572607
A1_standard,43,0.4470919324577862,0.250093808630394,0.19699812382739224,0.761308313686668,0.547951634864068,0.2133566788226,0.8345186823236752,0.5203111222622501,0.31420756006142514
A1_standard,44,0.24746716697936214,0.33921200750469044,-0.0917448405253283,0.7914043633755383,0.7505686417342127,0.04083572164132565,0.6529285278735335,0.4702062825235181,0.1827222453500154
A1_standard,45,0.3232645403377111,0.3050656660412759,0.01819887429643524,0.4251459801817922,0.7731971741830553,-0.3480511940012631,0.305605823134758,0.09000677386489984,0.21559904926985812
A1_standard,46,-0.15159474671669798,0.011632270168855536,-0.16322701688555352,0.13086360687673132,0.37275618576387654,-0.24189257888714522,0.175922740840269,0.5089344365921455,-0.33301169575187656
A1_robust_static,42,0.5076923076923078,0.11106941838649158,0.3966228893058162,0.5744416395002171,0.5576384672579612,0.016803172242255915,0.6583413108645626,0.3664158873524013,0.2919254235121613
A1_robust_static,43,0.29061913696060043,0.2307692307692308,0.05984990619136962,0.17058991516431013,0.2565220355096739,-0.08593212034536377,0.5353003299174158,0.24572274858915819,0.2895775813282576
A1_robust_static,44,-0.38686679174484057,-0.03583489681050657,-0.351031894934334,0.22235724513049437,0.27680521817593623,-0.054447973045441855,-0.1509693368398571,0.39849753416688805,-0.5494668710067452
A1_robust_static,45,0.351594746716698,0.08480300187617261,0.26679174484052537,0.14274932653423433,0.5019913770467499,-0.35924205051251556,0.20134151517316465,0.5120022016141949,-0.3106606864410302
A1_robust_static,46,-0.09549718574108819,-0.2686679174484053,0.17317073170731712,0.2069908775755804,0.20590225213868374,0.0010886254368966675,0.470157180821049,0.3698478854542231,0.10030929536682592
A1_online_adaptive,42,0.4080675422138837,0.45966228893058164,-0.05159474671669795,0.5353709373151184,0.6684974309559377,-0.1331264936408193,0.8347005286817778,0.6828823562245171,0.1518181724572607
A1_online_adaptive,43,0.4643527204502815,0.22851782363977488,0.2358348968105066,0.795008988233768,0.6105264305142744,0.18448255771949362,0.8401212626786612,0.5860043426520791,0.25411692002658204
A1_online_adaptive,44,0.29174484052532834,0.34333958724202635,-0.051594746716698,0.8016148601910761,0.8027804000208465,-0.0011655398297704123,0.6967370813501583,0.4702062825235181,0.22653079882664023
A1_online_adaptive,45,0.3251407129455911,0.25647279549718577,0.06866791744840534,0.5380197525694452,0.7902123956309797,-0.25219264306153444,0.5104564600416427,0.04433705431834631,0.46611940572329635
A1_online_adaptive,46,-0.11500938086303941,0.04371482176360226,-0.15872420262664166,0.1350795436054349,0.3545168448659169,-0.219437301260482,0.175922740840269,0.5096562230786789,-0.3337334822384099
